match_id,match_date,match_time,stadium
s09m01,2021-07-04,14-16,이우성
s09m02,2021-07-11,14-16,이우성
s09m03,2021-07-18,14-16,벽판교
s09m04,2021-07-25,14-16,이우성
s09m05,2021-11-07,14-16,벽판교
s09m06,2021-11-14,14-16,벽판교
s09m07,2021-11-21,14-16,벽판교
s09m08,2021-11-28,14-16,벽판교
s09m09,2021-12-12,14-16,벽판교
s09m10,2021-12-19,14-16,이우성
s09m11,2021-12-26,14-16,이우성
s09m12,2022-01-09,14-16,세븐
s09m13,2022-01-16,14-16,세븐
s09m14,2022-01-23,14-16,세븐
s09m15,2022-02-06,14-16,세븐
s09m16,2022-02-13,14-16,세븐
s09m17,2022-02-20,14-16,세븐
s09m18,2022-02-27,14-16,세븐
s09m19,2022-03-06,14-16,세븐
s09m20,2022-03-13,14-16,세븐
s09m21,2022-03-27,14-16,능평리
s09m22,2022-04-10,14-16,벽판교
s09m23,2022-04-17,14-16,벽판교
s09m24,2022-04-24,14-16,벽판교
s09m25,2022-05-01,14-16,벽판교
s09m26,2022-05-15,14-16,벽판교
s09m27,2022-05-22,14-16,벽판교
s09m28,2022-05-29,14-16,스토피아
s09m29,2022-06-19,14-16,스토피아
